structureId	chainId	macromoleculeType	chainLength	experimentalTechnique	resolution	scopDomain	pfam	ligandId	ligandName	source	structureTitle	citation	rObserved	rFree	rWork	spaceGroup
6B0H	D	Protein	223	X-ray	2.7	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
6B0H	B	Protein	223	X-ray	2.7	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
6B0H	J	Protein	183	X-ray	2.7	NA	Pvs28 EGF domain (Plasmod_Pvs28)	NA	NA	Plasmodium falciparum	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
6B0H	I	Protein	183	X-ray	2.7	NA	Pvs28 EGF domain (Plasmod_Pvs28)	NA	NA	Plasmodium falciparum	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
6B0S	C	Protein	82	X-ray	1.95	NA	Thrombospondin type 1 domain (TSP_1)	GOL,IPA	GLYCEROL,ISOPROPYL ALCOHOL	Plasmodium falciparum	Crystal structure of circumsporozoite protein aTSR domain in complex with 1710 antibody	Scally, S.W., et al. J Exp Medicine (2018)	0.1826	0.2238	0.1804	P 21 21 21
6B0S	L	Protein	213	X-ray	1.95	automated matches	NA	GOL	GLYCEROL	Homo sapiens	Crystal structure of circumsporozoite protein aTSR domain in complex with 1710 antibody	Scally, S.W., et al. J Exp Medicine (2018)	0.1826	0.2238	0.1804	P 21 21 21
6B0S	H	Protein	226	X-ray	1.95	automated matches	NA	GOL (3)	GLYCEROL (3)	Homo sapiens	Crystal structure of circumsporozoite protein aTSR domain in complex with 1710 antibody	Scally, S.W., et al. J Exp Medicine (2018)	0.1826	0.2238	0.1804	P 21 21 21
6BKC	E	Protein	189	X-ray	2.6	NA	NA	NAG (4)	2-acetamido-2-deoxy-beta-D-glucopyranose (4)	Recombinant Hepatitis C virus HK6a/JFH-1	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody AR3B	Tzarum, N., et al. Sci Adv (2019)	0.2336	0.2759	0.2313	P 1 21 1
6BKC	L	Protein	215	X-ray	2.6	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody AR3B	Tzarum, N., et al. Sci Adv (2019)	0.2336	0.2759	0.2313	P 1 21 1
6BKC	H	Protein	230	X-ray	2.6	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody AR3B	Tzarum, N., et al. Sci Adv (2019)	0.2336	0.2759	0.2313	P 1 21 1
6BZW	L	Protein	13	X-ray	2.2	NA	NA	NA	NA	Hepacivirus hominis	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	K	Protein	13	X-ray	2.2	NA	NA	NA	NA	Hepacivirus hominis	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	J	Protein	13	X-ray	2.2	NA	NA	NA	NA	Hepacivirus hominis	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	I	Protein	13	X-ray	2.2	NA	NA	NA	NA	Hepacivirus hominis	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	H	Protein	219	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	F	Protein	219	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	B	Protein	219	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	D	Protein	219	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	G	Protein	223	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	E	Protein	223	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	A	Protein	223	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6BZW	C	Protein	223	X-ray	2.2	NA	NA	NA	NA	Mus musculus	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody AP33	Aleman, F., et al. Proc Natl Acad Sci U S A (2018)	0.2127	0.2306	0.1922	P 1 21 1
6E62	C	Protein	216	X-ray	2.7	automated matches	NA	NA	NA	Rattus norvegicus	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E62	L	Protein	216	X-ray	2.7	automated matches	NA	NA	NA	Rattus norvegicus	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E62	B	Protein	222	X-ray	2.7	automated matches	NA	GOL	GLYCEROL	Rattus norvegicus	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E62	H	Protein	222	X-ray	2.7	automated matches	NA	GOL	GLYCEROL	Rattus norvegicus	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E62	A	Protein	139	X-ray	2.7	NA	Sexual stage antigen s48/45 domain (s48_45)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Plasmodium falciparum	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E62	P	Protein	139	X-ray	2.7	NA	Sexual stage antigen s48/45 domain (s48_45)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Plasmodium falciparum	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody 85RF45.1	Kundu, P., et al. Nat Commun (2018)	0.2472	0.2757	0.2457	P 21 21 21
6E63	C	Protein	215	X-ray	2.6	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6E63	L	Protein	215	X-ray	2.6	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6E63	B	Protein	222	X-ray	2.6	automated matches	NA	GOL	GLYCEROL	Homo sapiens	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6E63	H	Protein	222	X-ray	2.6	automated matches	NA	GOL	GLYCEROL	Homo sapiens	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6E63	A	Protein	138	X-ray	2.6	NA	Sexual stage antigen s48/45 domain (s48_45)	NA	NA	Plasmodium falciparum	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6E63	P	Protein	138	X-ray	2.6	NA	Sexual stage antigen s48/45 domain (s48_45)	NA	NA	Plasmodium falciparum	Crystal structure of malaria transmission-blocking antigen Pfs48/45 6C in complex with antibody TB31F	Kundu, P., et al. Nat Commun (2018)	0.2037	0.2398	0.2018	P 2 21 21
6EQC	D	Protein	254	EM	7.4	NA	NA	NA	NA	Mus musculus	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6EQC	E	Protein	254	EM	7.4	NA	NA	NA	NA	Mus musculus	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6EQC	F	Protein	254	EM	7.4	NA	NA	NA	NA	Mus musculus	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6EQC	A	Protein	952	EM	7.4	NA	Hexon, adenovirus major coat protein, N-terminal domain (Adeno_hexon)	NA	NA	Human adenovirus 5	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6EQC	B	Protein	952	EM	7.4	NA	Hexon, adenovirus major coat protein, N-terminal domain (Adeno_hexon)	NA	NA	Human adenovirus 5	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6EQC	C	Protein	952	EM	7.4	NA	Hexon, adenovirus major coat protein, N-terminal domain (Adeno_hexon)	NA	NA	Human adenovirus 5	Cryo-EM reconstruction of a complex of a binding protein and human adenovirus C5 hexon	Schmid, M., et al. Nat Commun (2018)	NA	NA	NA	NA
6MTJ	L	Protein	217	X-ray	2.336	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6MTJ	H	Protein	244	X-ray	2.336	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6MTJ	G	Protein	481	X-ray	2.336	NA	Envelope glycoprotein GP120 (GP120)	NAG (8),83G	2-acetamido-2-deoxy-beta-D-glucopyranose (8),1-[(2R)-4-(benzenecarbonyl)-2-methylpiperazin-1-yl]-2-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)ethane-1,2-dione	Human immunodeficiency virus 1	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6MTJ	E	Protein	114	X-ray	2.336	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6MTJ	D	Protein	134	X-ray	2.336	automated matches	NA	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Homo sapiens	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6MTJ	B	Protein	153	X-ray	2.336	NA	Retroviral envelope protein (GP41)	NAG (3)	2-acetamido-2-deoxy-beta-D-glucopyranose (3)	Human immunodeficiency virus 1	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to Small Molecule HIV-1 Entry Inhibitor BMS-378806 in Complex with Human Antibodies 3H109L and 35O22 at 2.9 Angstrom	Lai, Y.T., et al. Nat Commun (2019)	0.2354	0.2815	0.233	P 63
6N32	K	Protein	225	X-ray	2.2	Immunoglobulin heavy chain variable domain, VH	Immunoglobulin V-set domain (V-set)	NA	NA	Homo sapiens	Anti-HIV-1 Fab 2G12 re-refinement	Calarese, D.A., et al. Science (2003)	0.199	0.2274	0.1976	P 21 21 21
6N32	H	Protein	225	X-ray	2.2	Immunoglobulin heavy chain variable domain, VH	Immunoglobulin V-set domain (V-set)	NA	NA	Homo sapiens	Anti-HIV-1 Fab 2G12 re-refinement	Calarese, D.A., et al. Science (2003)	0.199	0.2274	0.1976	P 21 21 21
6N32	M	Protein	213	X-ray	2.2	automated matches	Immunoglobulin C1-set domain (C1-set)	SO4 (2)	SULFATE ION (2)	Homo sapiens	Anti-HIV-1 Fab 2G12 re-refinement	Calarese, D.A., et al. Science (2003)	0.199	0.2274	0.1976	P 21 21 21
6N32	L	Protein	213	X-ray	2.2	automated matches	Immunoglobulin C1-set domain (C1-set)	SO4 (3)	SULFATE ION (3)	Homo sapiens	Anti-HIV-1 Fab 2G12 re-refinement	Calarese, D.A., et al. Science (2003)	0.199	0.2274	0.1976	P 21 21 21
6NB3	D	Protein	127	EM	3.5	NA	NA	NA	NA	Homo sapiens	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	H	Protein	127	EM	3.5	NA	NA	NA	NA	Homo sapiens	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	E	Protein	109	EM	3.5	NA	NA	NA	NA	Homo sapiens	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	L	Protein	109	EM	3.5	NA	NA	NA	NA	Homo sapiens	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	C	Protein	1359	EM	3.5	NA	Coronavirus spike glycoprotein S2 (CoV_S2)	NAG (3)	2-acetamido-2-deoxy-beta-D-glucopyranose (3)	Middle East respiratory syndrome-related coronavirus	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	B	Protein	1359	EM	3.5	NA	Coronavirus spike glycoprotein S2 (CoV_S2)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Middle East respiratory syndrome-related coronavirus	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NB3	A	Protein	1359	EM	3.5	NA	Coronavirus spike glycoprotein S2 (CoV_S2)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Middle East respiratory syndrome-related coronavirus	MERS-CoV complex with human neutralizing LCA60 antibody Fab fragment (state 1)	Walls, A.C., et al. Cell (2019)	NA	NA	NA	NA
6NZ7	L	Protein	214	X-ray	2.95	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	I	Protein	214	X-ray	2.95	automated matches	Immunoglobulin C1-set domain (C1-set)	NA	NA	Homo sapiens	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	H	Protein	228	X-ray	2.95	automated matches	Immunoglobulin C1-set domain (C1-set)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Homo sapiens	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	G	Protein	228	X-ray	2.95	automated matches	Immunoglobulin C1-set domain (C1-set)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Homo sapiens	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	B	Protein	173	X-ray	2.95	Influenza hemagglutinin (stalk)	Haemagglutinin (Hemagglutinin)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Influenza A virus (A/Hong Kong/1/1968(H3N2))	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	F	Protein	173	X-ray	2.95	Influenza hemagglutinin (stalk)	Haemagglutinin (Hemagglutinin)	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose	Influenza A virus (A/Hong Kong/1/1968(H3N2))	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	A	Protein	319	X-ray	2.95	Hemagglutinin	Haemagglutinin (Hemagglutinin)	NAG (4)	2-acetamido-2-deoxy-beta-D-glucopyranose (4)	Influenza A virus (A/Hong Kong/1/1968(H3N2))	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6NZ7	E	Protein	319	X-ray	2.95	Hemagglutinin	Haemagglutinin (Hemagglutinin)	NAG (3)	2-acetamido-2-deoxy-beta-D-glucopyranose (3)	Influenza A virus (A/Hong Kong/1/1968(H3N2))	Crystal structure of broadly neutralizing Influenza A antibody 429 B01 in complex with Hemagglutinin Hong Kong 1968	Matsuda, K., et al. Sci Immunol (2019)	0.2258	0.2674	0.2236	P 1 21 1
6O23	E	Protein	20	X-ray	2	NA	NA	EDO,SO4	1,2-ETHANEDIOL,SULFATE ION	Plasmodium falciparum	Crystal structure of 2243 Fab in complex with circumsporozoite protein NANP5	Murugan, R., et al. Nat Med (2020)	0.187	0.2244	0.1859	P 1 21 1
6O23	D	Protein	213	X-ray	2	NA	NA	EDO (3),SO4 (4),TRS	1,2-ETHANEDIOL (3),SULFATE ION (4),2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	Homo sapiens	Crystal structure of 2243 Fab in complex with circumsporozoite protein NANP5	Murugan, R., et al. Nat Med (2020)	0.187	0.2244	0.1859	P 1 21 1
6O23	B	Protein	213	X-ray	2	NA	NA	EDO (2),SO4	1,2-ETHANEDIOL (2),SULFATE ION	Homo sapiens	Crystal structure of 2243 Fab in complex with circumsporozoite protein NANP5	Murugan, R., et al. Nat Med (2020)	0.187	0.2244	0.1859	P 1 21 1
6O23	C	Protein	227	X-ray	2	NA	NA	EDO (3),SO4	1,2-ETHANEDIOL (3),SULFATE ION	Homo sapiens	Crystal structure of 2243 Fab in complex with circumsporozoite protein NANP5	Murugan, R., et al. Nat Med (2020)	0.187	0.2244	0.1859	P 1 21 1
6O23	A	Protein	227	X-ray	2	NA	NA	EDO (4),SO4 (3)	1,2-ETHANEDIOL (4),SULFATE ION (3)	Homo sapiens	Crystal structure of 2243 Fab in complex with circumsporozoite protein NANP5	Murugan, R., et al. Nat Med (2020)	0.187	0.2244	0.1859	P 1 21 1
6O24	I	Protein	12	X-ray	1.4	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4498 Fab in complex with circumsporozoite protein NANP3 and anti-Kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1616	0.1862	0.1612	P 1 21 1
6O24	K	Protein	121	X-ray	1.4	NA	NA	EDO	1,2-ETHANEDIOL	Lama glama	Crystal structure of 4498 Fab in complex with circumsporozoite protein NANP3 and anti-Kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1616	0.1862	0.1612	P 1 21 1
6O24	B	Protein	213	X-ray	1.4	NA	NA	EDO,CIT	1,2-ETHANEDIOL,CITRIC ACID	Homo sapiens	Crystal structure of 4498 Fab in complex with circumsporozoite protein NANP3 and anti-Kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1616	0.1862	0.1612	P 1 21 1
6O24	A	Protein	230	X-ray	1.4	NA	NA	EDO (2)	1,2-ETHANEDIOL (2)	Homo sapiens	Crystal structure of 4498 Fab in complex with circumsporozoite protein NANP3 and anti-Kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1616	0.1862	0.1612	P 1 21 1
6O28	K	Protein	121	X-ray	1.93	NA	NA	NA	NA	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	G	Protein	121	X-ray	1.93	NA	NA	NA	NA	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	F	Protein	15	X-ray	1.93	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	E	Protein	15	X-ray	1.93	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	D	Protein	215	X-ray	1.93	NA	NA	EDO (3)	1,2-ETHANEDIOL (3)	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	B	Protein	215	X-ray	1.93	NA	NA	NA	NA	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	C	Protein	225	X-ray	1.93	NA	NA	EDO (3)	1,2-ETHANEDIOL (3)	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O28	A	Protein	225	X-ray	1.93	NA	NA	NA	NA	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein KQPA and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1887	0.2185	0.1881	P 21 21 21
6O2A	L	Protein	12	X-ray	2.15	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	K	Protein	12	X-ray	2.15	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	G	Protein	12	X-ray	2.15	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	F	Protein	12	X-ray	2.15	NA	NA	EDO	1,2-ETHANEDIOL	Plasmodium falciparum	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	J	Protein	121	X-ray	2.15	NA	NA	NA	NA	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	N	Protein	121	X-ray	2.15	NA	NA	EDO (2)	1,2-ETHANEDIOL (2)	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	M	Protein	121	X-ray	2.15	NA	NA	NA	NA	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	E	Protein	121	X-ray	2.15	NA	NA	NA	NA	Lama glama	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	P	Protein	215	X-ray	2.15	NA	NA	EDO (2)	1,2-ETHANEDIOL (2)	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
6O2A	I	Protein	215	X-ray	2.15	NA	NA	NA	NA	Homo sapiens	Crystal structure of 4493 Fab in complex with circumsporozoite protein NDN and anti-kappa VHH domain	Murugan, R., et al. Nat Med (2020)	0.1932	0.2211	0.1928	P 1
